work#,volumes,pages,filetypes,size
W00EGS1016784,1,274,31120
W00EGS1016787,1,213,22308
W00EGS1016789,1,72,4220
W00EGS1016791,2,686,476852
W00EGS1016793,1,20,9400
W00EGS1016795,1,28,3332
W00EGS1016798,1,58,18204
W00EGS1016800,1,168,41052
W00EGS1016802,1,58,51112
W00EGS1016804,2,848,31668
W00EGS1016835,1,1508,519536
W00EGS1016899,24,16156,1623768
W00EGS1016924,1,390,50384
W00EGS1016925,1,168,93948
W00EGS1016927,1,554,42840
W00EGS1016928,2,700,106732
W00EGS1016929,1,334,117360
W00EGS1016931,1,84,7628
W00EGS1016933,1,96,50928
W00EGS1016935,1,128,46392
W00EGS1016937,1,240,37040
W00EGS1016940,1,90,28644
W00EGS1016941,1,164,29624
W00EGS1016943,1,196,38140
W00EGS1016947,1,534,41252
W00EGS1016949,1,586,37580
W00EGS1016950,2,1030,111204
W00EGS1016951,2,1068,154628
W00EGS1016952,1,198,70168
W00EGS1016954,1,376,172828
W00EGS1016955,1,58,96316
W00EGS1016956,1,216,27772
W00EGS1016958,1,130,27208
W00EGS1016959,1,256,237020
W00EGS1016960,1,514,38908
W00EGS1016962,1,798,37748
W00EGS1016963,3,2414,231152
W00EGS1016968,1,318,40648
W00EGS1016969,1,284,52076
W00EGS1016971,1,436,61300
W00EGS1016972,1,898,64996
W00EGS1016973,1,1040,82164
W00EGS1016980,1,148,81572
W00EGS1016981,1,520,247340
W00EGS1016982,1,212,25580
W00EGS1016983,1,280,26152
W00EGS1016984,1,798,35420
W00EGS1016988,1,180,30120
W00EGS1016994,1,747,51372
W00EGS1016999,1,118,26940
W00EGS1017004,1,122,28776
W00EGS1017007,1,184,41012
W00EGS1017010,1,266,20608
W00EGS1017014,1,100,15424
W00EGS1017022,1,468,72748
W00EGS1017030,1,278,54996
W00EGS1017033,1,180,86084
W00EGS1017037,1,148,28136
W00EGS1017040,1,482,30872
W00EGS1017042,1,49,30712
W00EGS1017043,1,388,35256
W00EGS1017048,1,140,9764
W00EGS1017051,1,104,14336
W00EGS1017054,1,64,11520
W00EGS1017059,1,338,7568
W00EGS1017063,1,174,16772
W00EGS1017066,1,88,14664
W00EGS1017069,1,158,29296
W00EGS1017070,1,808,16376
W00EGS1017077,1,462,82296
W00EGS1017082,9,5404,270112
W00EGS1017093,7,3828,78504
W00EGS1017102,1,380,450952
W00EGS1017117,1,354,177324
W00EGS1017120,1,1276,65736
W00EGS1017123,1,1030,78920
W00EGS1017126,2,1058,363416
W00EGS1017133,1,342,56924
W00EGS1017134,1,344,46084
W00EGS1017136,2,688,71612
W00EGS1017144,1,246,31536
W00EGS1017147,1,288,33152
W00EGS1017150,1,242,35936
W00EGS1017151,15,12808,1275508
W00EGS1017157,1,142,126404
W00EGS1017165,1,320,44436
W00EGS1017169,1,212,29564
W00EGS1017172,1,528,163372
W00EGS1017177,2,1026,132064
W00EGS1017181,1,524,40888
W00EGS1017184,1,290,69356
W00EGS1017186,1,316,15952
W00EGS1017193,1,194,107624
W00EGS1017196,3,248,200480
W00EGS1017203,1,124,14628
W00EGS1017210,1,202,104744
W00EGS1017214,1,348,84076
W00EGS1017219,1,226,19460
W00EGS1017241,1,364,25616
W00EGS1017245,40,23134,521204
W00EGS1017287,1,126,55280
W00EGS1017292,1,162,107400
W00EGS1017300,1,102,48360
W00EGS1017303,1,218,22256
W00EGS1017306,1,208,19304
W00EGS1017310,1,132,8572
W00EGS1017313,1,322,91112
W00EGS1017316,1,140,126312
W00EGS1017319,1,166,95488
W00EGS1017322,1,208,84256
W00EGS1017328,1,274,67620
W00EGS1017331,1,204,57408
W00EGS1017334,1,594,214584
W00EGS1017337,1,389,39360
W00EGS1017341,1,184,60168
W00EGS1017345,1,346,122248
W00EGS1017349,1,204,141828
W00EGS1017352,1,258,51408
W00EGS1017357,1,824,103176
W00EGS1017359,1,834,4331912
W00EGS1017362,1,342,30008
W00EGS1017393,1,130,9596
W00EGS1017396,1,185,5548
W00EGS1017401,15,10694,341256
W00EGS1017419,1,564,127412
W00EGS1017421,1,443,51108
W00EGS1017422,1,381,23072
W00EGS1017426,10,5588,270888
W00EGS1017462,1,606,13708
W00EGS1017463,2,1722,38800
W00EGS1017511,1,634,14944
W00EGS1017555,3,1176,126848
W00EGS1017628,1,710,15236
W00EGS1017690,1,426,126580
W00EGS1017863,1,440,9572
W00EGS1018126,1,502,11672
W00EGS1018179,1,27,25944
W00JR1718,1,338,55132
W00JR585,1,320,19900
W00JW501203,151,84650,196360864
W00KG01,1,80,6052
W00KG010083,1,168,182392
W00KG010084,3,1497,333944
W00KG010085,1,142,22240
W00KG010089,1,170,33416
W00KG010090,1,311,476740
W00KG010260,1,126,17348
W00KG010265,1,378,162828
W00KG010266,1,153,193532
W00KG010269,1,87,303968
W00KG01048,1,420,649584
W00KG01061,1,16,8164
W00KG01062,1,204,4776
W00KG01063,1,183,4436
W00KG013,1,338,141148
W00KG015,1,284,32860
W00KG01502,1,410,13152
W00KG01503,1,484,59336
W00KG01504,1,48,1296
W00KG01505,1,12,412
W00KG01506,1,24,920
W00KG01507,1,8,212
W00KG01508,1,32,800
W00KG01509,1,139,4132
W00KG01510,1,136,4012
W00KG01511,1,143,3112
W00KG01512,1,315,6144
W00KG01513,1,257,5744
W00KG01514,1,217,4356
W00KG01515,1,321,7096
W00KG01516,1,760,17544
W00KG01517,1,176,5384
W00KG01518,1,315,7240
W00KG01519,1,308,7148
W00KG01520,1,215,6720
W00KG01521,1,293,6880
W00KG01522,1,373,39244
W00KG01583,1,44,1804
W00KG01584,1,18,656
W00KG01585,1,22,904
W00KG01586,1,18,756
W00KG01587,1,14,620
W00KG01588,1,46,2056
W00KG01589,1,12,452
W00KG01590,1,8,300
